name,active_addresses
ethereum,11060024.0
optimism,1976791.0
bnb,22775423.0
polygon,10223630.0
base,1473232.0
arbitrum,4293665.0
optimism,1976791.0
avalanche,1821670.0
bitcoin,17024893.0
