time,asks,bids,combined_orders
2023-12-29 06:00:00,1532821307,1655503460,3188324768
2023-12-29 12:00:00,1544456489,2237145260,3781601750
2023-12-29 18:00:00,1522818522,2358149733,3880968255
2023-12-30 00:00:00,1519199753,2367673849,3886873603
2023-12-30 06:00:00,1541382750,2351445732,3892828483
2023-12-30 12:00:00,1500452227,2359693212,3860145440
2023-12-30 18:00:00,1584514844,2340533222,3925048066
2023-12-31 00:00:00,1648029263,2304345952,3952375215
2023-12-31 06:00:00,1832387656,2143589587,3975977243
2023-12-31 12:00:00,2078867973,2028885235,4107753208
2023-12-31 18:00:00,1748256256,2301109387,4049365643
