month,blockchain,total_volume,active_addresses
2023-12-01,ethereum,44562170503.0,11060024.0
2023-12-01,bnb,14670284964.0,22775423.0
2023-12-01,arbitrum,14449776435.0,4293665.0
2023-12-01,polygon,5202891964.0,10223630.0
2023-12-01,avalanche,4730741057.0,1821670.0
2023-12-01,optimism,2801821928.0,1976791.0
2023-12-01,base,587556923.0,1473232.0
2023-12-01,zksync,502089125.0,0.0
2023-12-01,fantom,158037210.0,0.0
2023-12-01,gnosis,79929346.0,0.0
2023-12-01,celo,37330475.0,0.0
