time_open,time_close,open,high,low,close,volume,market_cap
2024-02-01T00:00:00Z,2024-02-01T23:59:59Z,2283.990932293832,2310.0050632088637,2246.503095647776,2304.710942672374,8138368299,276986012751
2024-02-02T00:00:00Z,2024-02-02T23:59:59Z,2304.7374127810494,2323.7047268318584,2287.2028365125,2308.920546953189,6532977885,277490800002
2024-02-03T00:00:00Z,2024-02-03T23:59:59Z,2309.454840585323,2327.881551460506,2297.2699155502164,2298.902486745392,4177383908,276286002094
2024-02-04T00:00:00Z,2024-02-04T23:59:59Z,2299.020219549243,2311.1306950877743,2279.8855116144164,2293.2186525199245,4815944683,275604908938
2024-02-05T00:00:00Z,2024-02-05T23:59:59Z,2293.069881925424,2334.542727488587,2276.4768621242283,2301.318693468057,6595029440,276579904635
2024-02-06T00:00:00Z,2024-02-06T23:59:59Z,2301.4826262920064,2389.754943884337,2299.460361839921,2373.4158335218476,8943742678,285245758853
2024-02-07T00:00:00Z,2024-02-07T23:59:59Z,2373.472688984249,2441.737986457108,2355.6574680613876,2424.9747406083693,9185566906,291438741071
2024-02-08T00:00:00Z,2024-02-08T23:59:59Z,2424.639024660734,2458.6754002388484,2415.4694625473753,2421.670045972143,9325796416,291036967240
2024-02-09T00:00:00Z,2024-02-09T23:59:59Z,2421.4389233282277,2522.7202789792864,2421.1512615040824,2487.7437006766577,13188405907,298968997559
2024-02-10T00:00:00Z,2024-02-10T23:59:59Z,2487.6435951791927,2515.7506550958374,2476.4793216285934,2502.637705624911,6025171979,300746905783
2024-02-11T00:00:00Z,2024-02-11T23:59:59Z,2502.41600942634,2537.3353235438644,2496.855165146435,2507.4037928011962,6935699986,301316160552
2024-02-12T00:00:00Z,2024-02-12T23:59:59Z,2508.0278613769283,2663.3126157676616,2478.006936107699,2659.9330275349885,12821033231,319644143939
2024-02-13T00:00:00Z,2024-02-13T23:59:59Z,2658.9998953681966,2686.704220336639,2600.8089400520616,2642.413688265127,14479181381,317534022586
2024-02-14T00:00:00Z,2024-02-14T23:59:59Z,2642.8266395041355,2785.6833283631045,2622.900098150815,2777.331832230915,13691470948,333744484147
2024-02-15T00:00:00Z,2024-02-15T23:59:59Z,2777.39998804454,2863.3764476042684,2768.1708226787355,2824.3411179813747,15694863499,339392356231
2024-02-16T00:00:00Z,2024-02-16T23:59:59Z,2825.523095788184,2857.9098307475288,2764.3225255739535,2805.016629906929,12304825745,337066495122
2024-02-17T00:00:00Z,2024-02-17T23:59:59Z,2804.6530318202113,2805.03595301071,2732.143964073013,2788.418321466335,8321877044,335070627786
2024-02-18T00:00:00Z,2024-02-18T23:59:59Z,2788.352169744671,2893.6493611111623,2770.642547246302,2878.6068287987378,10051371558,345909096470
2024-02-19T00:00:00Z,2024-02-19T23:59:59Z,2880.0841737129313,2983.523809326354,2863.9518804722184,2945.414820533808,14437547168,353937279961
2024-02-20T00:00:00Z,2024-02-20T23:59:59Z,2946.8125303477555,3030.438106960702,2884.5153160846367,3015.6639999096633,19665897823,362375690372
2024-02-21T00:00:00Z,2024-02-21T23:59:59Z,3018.0009923062717,3018.205364011388,2879.7850316565714,2972.351913321121,18515026302,357166440586
2024-02-22T00:00:00Z,2024-02-22T23:59:59Z,2972.053403902643,3032.0002059790486,2911.9552573622727,2972.5695470792807,17626202788,357187137426
2024-02-23T00:00:00Z,2024-02-23T23:59:59Z,2973.13295884319,2992.8758709338304,2912.257795936972,2927.183949301231,12488470299,351725862795
2024-02-24T00:00:00Z,2024-02-24T23:59:59Z,2926.4757590057084,3002.901758268535,2913.120077333187,2996.2158469524416,7614644755,360014935255
2024-02-25T00:00:00Z,2024-02-25T23:59:59Z,2996.4684261679176,3116.9785194908504,2990.706062070518,3114.975464471132,12949268042,374283066668
2024-02-26T00:00:00Z,2024-02-26T23:59:59Z,3114.8997304920404,3196.01984590461,3044.76816272259,3179.214577067191,17526099381,381999920003
2024-02-27T00:00:00Z,2024-02-27T23:59:59Z,3178.7427882948,3285.2136130858257,3168.6605118420434,3245.920855413912,20709831070,390009209175
2024-02-28T00:00:00Z,2024-02-28T23:59:59Z,3246.0643153848996,3483.097149598977,3235.6949574806445,3384.4757700438754,30878793844,406648138093
2024-02-29T00:00:00Z,2024-02-29T23:59:59Z,3385.327575301986,3516.773326616579,3307.909681599489,3347.4968788935357,25733370723,402192002088
