date_col,avg_gas_used,avg_daily_gas_price
2024-02-01,95636.85785806918,31392970368.17931
2024-02-02,97339.90507610732,24500437326.93314
2024-02-03,102296.54279615857,22511514075.30415
2024-02-04,102710.41504255233,18512427976.3613
2024-02-05,96329.68009626537,22341636359.974777
2024-02-06,99786.4804856566,37660659816.2262
2024-02-07,94514.72721514446,43071499864.55579
2024-02-08,102451.53684772774,60785647336.15551
2024-02-09,100201.77536381492,71415240827.87344
2024-02-10,106752.98094842424,38670181399.24499
2024-02-11,105106.455915894,30469736561.66459
2024-02-12,110066.20021762012,43865510119.36412
2024-02-13,97989.70181095536,34487521503.79574
2024-02-14,95510.35237343704,30055114476.241184
2024-02-15,93517.74504223514,39172512560.72541
2024-02-16,91497.88358169203,30843412372.750053
2024-02-17,99960.93904651876,22606061105.662567
2024-02-18,98449.77013133628,25482158308.17734
2024-02-19,93831.39252043044,37551815367.58126
2024-02-20,94023.1353843772,41425451233.50628
2024-02-21,97873.98605638156,43659442265.37454
2024-02-22,99776.91638514918,51383326352.98857
2024-02-23,93151.41188184706,44869526260.08542
2024-02-24,98608.51707966394,30785077920.88407
2024-02-25,98371.61219086882,31687193252.109062
2024-02-26,91118.12040405572,44049515982.21429
2024-02-27,88859.03544246094,52078273471.23461
2024-02-28,88207.57557620211,65493392699.39874
2024-02-29,87523.95571220374,74113151775.11298
