timestamp,asks,bids,combined_orders
1709402400000,3371197953,3619912052,6991110005
1709424000000,3835588601,3230346269,7065934871
1709445600000,3621187353,2387491176,6008678529
1709467200000,3309802600,2117681382,5427483982
1709488800000,2832640851,4175866209,7008507061
1709510400000,3114789515,3574846022,6689635538
1709532000000,2106593386,4509415501,6616008888
1709553600000,1939279025,4623043536,6562322562
1709575200000,2736142126,3527591815,6263733941
1709596800000,2976753200,4022520124,6999273324
1709618400000,3457113765,3329568171,6786681936
1709640000000,3217431174,4445225768,7662656943
1709661600000,3540445328,3628249497,7168694826
1709683200000,2366282080,4179322559,6545604639
1709704800000,2453952242,3869279344,6323231587
1709726400000,1565484565,1710132797,3275617363
1709748000000,1696145693,1716681781,3412827474
1709769600000,1718619502,1670229307,3388848810
1709791200000,1801495615,1724585267,3526080883
1709812800000,1912834844,1897675606,3810510450
1709834400000,2131031838,1900786096,4031817934
1709856000000,2218237958,1856679559,4074917517
1709877600000,2394674929,1694183862,4088858791
1709899200000,2072396716,1929083753,4001480470
1709920800000,1841396243,1865596600,3706992844
1709942400000,1907455921,1842952096,3750408017
1709964000000,2042643887,1818262906,3860906794
1709985600000,2117004226,1750186995,3867191222
1710007200000,2127737697,1763006483,3890744181
1710028800000,2088538162,1809694572,3898232734
1710050400000,2271629968,1848546995,4120176963
1710072000000,2379088358,1939708519,4318796877
1710093600000,2130132636,2037617755,4167750392
1710115200000,2124408058,1888560941,4012968999
1710136800000,2031140907,1657653879,3688794787
1710158400000,1934470421,1647175751,3581646173
1710180000000,1940221514,1747864784,3688086298
1710201600000,2018002556,1802393951,3820396508
1710223200000,1967800836,1709631942,3677432779
1710244800000,1852494872,1804529239,3657024112
1710266400000,2036391366,1742212124,3778603491
1710288000000,2066200368,1804600247,3870800615
1710309600000,2142933954,1754812578,3897746532
1710331200000,2110834202,1728554193,3839388396
1710352800000,2059267766,1862604348,3921872114
1710374400000,2251352516,1816195543,4067548060
1710396000000,2234689533,2189908457,4424597990
1710417600000,2153239272,2006222413,4159461685
1710439200000,1851443136,2237065487,4088508623
1710460800000,1928213721,1865324948,3793538669
1710482400000,1799673340,1669553300,3469226640
1710504000000,1721626264,1724744539,3446370803
1710525600000,1965399019,1599704124,3565103144
1710547200000,2047623531,1491454476,3539078008
1710568800000,1905315949,1713886250,3619202199
1710590400000,1973491545,1722637078,3696128623
1710612000000,1968185178,1853113924,3821299103
1710633600000,2082882275,1521004945,3603887221
1710655200000,2049516506,1507102475,3556618981
1710676800000,1817520643,1683503499,3501024143
1710698400000,1690270436,1866177057,3556447493
1710720000000,1572834708,1856766494,3429601202
1710741600000,1561910410,1742859905,3304770316
1710763200000,2468529936,2340241740,4808771677
1710784800000,4738641603,5005221363,9743862967
1710806400000,5619809105,5784797760,11404606865
1710828000000,4697962058,5099157004,9797119062
1710849600000,4981551395,5979180120,10960731516
1710871200000,7674829944,8681910297,16356740242
1710892800000,7543523864,8435122494,15978646358
1710914400000,7142803893,7577328991,14720132884
1710936000000,11048740212,9207774648,20256514861
1710957600000,5353658331,5988786285,11342444617
1710979200000,7246613539,5706556958,12953170497
1711000800000,5268841074,7254762728,12523603803
1711022400000,6187737414,6142310654,12330048069
1711044000000,5152720854,6234740686,11387461540
1711065600000,5123403467,4892775020,10016178487
1711087200000,6113672832,6253158543,12366831375
1711108800000,7329131482,5714194907,13043326389
1711130400000,5317898341,5435187968,10753086310
1711152000000,7181778113,5949815551,13131593665
1711173600000,6052100918,4932849898,10984950816
1711195200000,8019045793,4748964752,12768010546
1711216800000,8369716400,4825030169,13194746570
1711238400000,7736141473,4798287893,12534429367
1711260000000,8247826436,4806601238,13054427674
1711281600000,8926885491,4429165102,13356050593
1711303200000,10448686455,4164561940,14613248395
