open,close,volume,market_cap,date,fee
37729.17,78691.27,20508776173,756741796602,2023-12-01,19975.0
38697.85,39479.45,13588128249,772188413546,2023-12-02,14808.0
39479.73,39971.13,13093063883,781845620581,2023-12-03,20043.0
39975.49,41987.21,35310334983,821322216351,2023-12-04,26340.0
41992.02,44103.81,33525917333,862764465942,2023-12-05,45962.0
44091.79,43787.36,24008339113,856610945344,2023-12-06,62776.0
43798.65,43311.88,22280748071,847340353587,2023-12-07,46895.0
43318.98,44192.9,22306704942,864613360824,2023-12-08,37076.0
44191.52,43799.52,15566301347,856959590829,2023-12-09,23858.0
43811.03,43863.44,11525341018,858248827021,2023-12-10,21417.0
43874.0,41275.89,35108367931,807660366638,2023-12-11,26188.0
41285.14,41507.62,20697278111,812231895178,2023-12-12,20946.0
41495.56,42931.42,23030049226,840133858054,2023-12-13,33465.0
42926.12,43053.74,21883482774,842567254283,2023-12-14,58518.0
43054.6,41967.79,16196189266,821357368066,2023-12-15,66579.0
41970.26,42293.42,12520062907,827769251489,2023-12-16,87811.0
42299.98,41461.41,14371211390,811524511129,2023-12-17,89169.0
41439.79,42652.35,22725934915,834880313828,2023-12-18,60964.0
42660.68,42315.22,21129234072,828323532002,2023-12-19,65809.0
42307.86,43689.9,26243908444,855272431045,2023-12-20,73218.0
43701.68,43925.26,18231871194,859920669429,2023-12-21,68920.0
43926.81,44050.95,17395073918,862426176952,2023-12-22,51874.0
44043.27,43847.8,12102732234,858494709667,2023-12-23,33348.0
43846.43,43125.24,15860044943,844393520005,2023-12-24,24732.0
43126.47,43652.26,18498299518,854750297992,2023-12-25,31524.0
43650.57,42577.9,25487821746,833747974529,2023-12-26,30308.0
42571.52,43479.96,20531520606,851448981526,2023-12-27,49246.0
43490.45,42660.21,19984533217,835428709479,2023-12-28,55581.0
42650.81,42139.12,22762573347,825264352367,2023-12-29,36397.0
42136.91,42233.19,13479607219,827144242407,2023-12-30,49510.0
42202.5,42331.78,12192174180,829116531209,2023-12-31,48454.0
