name,active_addresses
ethereum,6819143.0
optimism,1781457.0
bnb,12745593.0
polygon,8114318.0
base,1310194.0
arbitrum,2519982.0
optimism,1781457.0
avalanche,889641.0
bitcoin,15952981.0
