url_name,vol_30_day_usd
uniswap-v3,20964760769
uniswap-v2,3240503986
curve-finance,2608977252
pancakeswap-v3-bsc,3921331227
pancakeswap-v2,1533334078
uniswap-arbitrum,4421068236
uniswap-polygon-network,1634991512
uniswap-optimism,570048184
pancakeswap-v3-ethereum,574912231
trader-joe,107485372
trader-joe-v2-arbitrum,1190909
camelot-v3,1323613499
camelot,87889097
balancer-v2,1165260050
balancer,57413264
