url_name,vol_30_day_usd
binance,413632289863
coinbase,58202912013
bitforex,43881507044
kraken,23992852966
okx,55324819366
kucoin,27223761045
gateio,32066606819
htx,39292740515
bitfinex,6413674426
bitstamp,5562388742
p2b,36070000154
digifinex,30714157713
bitmart,28761102003
whitebit,19539058388
bitget,29121863178
bitrue,63319304056
lbank,31225235100
deepcoin,21700531248
toobit,19330069802
xt,17091534116
